,受信項目,,,,,,,最新状態,,,,,,,,,,,,,処理結果,,,,,
NO,宛名,メール受信日,メールの送信元,管理番号,商品CD,メール記載品名,メール記載金額,予定仕入先,状態表示,EC1,EC2,EC3,店頭１-A店舗,店頭１-B店舗,店頭１-C店舗,店頭１-D店舗,店頭2-A店舗,店頭2-B店舗,店頭2-C店舗,店頭2-D店舗,発注予定名称,発注(振分)年月日,発注(振分)品名,税込金額,状態表示,表示削除
例,メールより,メールより,メールより,メールより,管理番号より,メールより,メールより,"未定
/EC(青色)
/店頭(黄色)
/在庫無し(赤色)","スクレイピング前
/スクレイピング済振分前
/EC金額保留待機中/EC発注済
/店頭仕入振分け中/電話orメール済
/エラー(赤色)/注文取消前",〇,×,×,×,〇,×,×,×,×,×,〇,実際の処理結果より,実際の処理結果より,実際の処理結果より,実際の処理結果より,"未処理
/EC発注済
/電話仕入済
/店頭メール済
/欠品",
1,自社アカウント名1,2025/8/5,amazon,9784336065704SHINPIN07,9784336065704 ,A書籍,4186,EC,EC金額保留待機中,〇,×,×,×,〇,×,×,×,×,×,〇,紀伊国屋書店EC,2025/8/5,A書籍,"2,640",未処理,
2,自社アカウント名1,2025/8/6,amazon,9784336065705SHINPIN07,9784336065705 ,B書籍,4800,店頭,店頭仕入振分け中,×,×,×,〇,×,×,×,×,×,×,×,丸善ジュンク堂-横浜店,8月7日,,,,
3,自社アカウント名1,2025/8/6,amazon,9784336065706SHINPIN07,9784336065706 ,C書籍,5600,未定,スクレイピング前,--,--,--,--,--,--,--,--,--,--,--,,,,,,
4,自社アカウント名1,2025/8/7,amazon,978433606570SHINPIN07,9784336065707 ,D書籍,4100,在庫無し,注文取消前,×,×,×,×,×,×,×,×,×,×,×,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,＊スクレイピング結果より,,,,,,,,,,,,,,,,,,
,,,メール読み取り,,,,,,,,,,,,,,,,,,,,,,,
,,,関数,,,,,,,,,,,,,,,,,,,,,,,
,,,スクレイピング結果読み取り(Excel VBAかoctopus(有料会員済),,,,,,,,,,,,,,,,,,,,,,,
,,,コントロールパネル読み取り,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,フロー,①処理台帳に記載,,,,,,,,,,,,,,,,,,,,,,,
,,,②スクレイピング処理待ち,,,,,,,,,,,,,,,,,,,,,,,
,,,③仕入前台帳に振分け,,,,,,,,,,,,,,,,,,,,,,,
,,,④完了後台帳での処理結果を処理台帳に反映,,,,,,,,,,,,,,,,,,,,,,,